,Place of interest,Type of place,Place address,Place distrit,Place neighborhood,Place description,Place transport,Place latitude,Place longitude,mercator place,BiciMAD station,Station location,Station latitude,Station longitude,Station base availability,Station Bikes Availability,mercator station,Distance Between BiciMAD station and Place of interest
14,"Jardines de la Plaza de Oriente, Lepanto y Cabo Noval",Principales parques y jardines municipales,BAILEN,CENTRO,PALACIO,"La plaza de Oriente, de forma rectangular cerrada en hemiciclo, está presidida por el Teatro Real y se abre en una gran perspectiva enmarcando la fachada oriental del Palacio Real. Se distinguen tres espacios diferenciados: el parterre central, que se desarrolla en el entorno del famoso grupo escultórico ecuestre de Felipe IV, y los jardines del cabo Noval y de Lepanto, que se sitúan a ambos lados.    El parterre central sigue el modelo decimonónico de jardinería: seto de complicados diseños geométricos y figuras topiarias (ejemplares perfilados con diversas formas), todo ello guardando simetría con un eje principal. Se utilizan: para el seto el boj, en las esquinas tejos y entre ellos cipreses. Se encuentra un ejemplar de magnolio en el centro de cada figura, y dos fuentes artísticas en los cuadros más cercanos a palacio. Los jardines de Lepanto y Cabo Noval son espacios abiertos y ajardinados para el descanso y recreo de los visitantes. La cantidad de árboles hace de ambos jardines un lugar idóneo para la estancia y el ocio. Los jardines del Cabo Noval, integrados principalmente por plantaciones de plátanos, ocupan la parte septentrional de la Plaza de Oriente, junto a la calle de San Quintín. Los jardines de Lepanto se encuentran en la parte meridional de la plaza y su composición es muy similar.","Metro: Ópera (líneas 2, 5 y ramal) Autobús: 25, 39  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.41835486065351,-3.712838830603048,POINT (4499350.681789782 -413600.8951278932),San Quintín,Calle Pavía nº 6,40.4192095,-3.711504,disponible,6,POINT (4499445.819806646 -413451.9900451842),176.70304442575744
15,Jardines de la Plaza de la Villa de París,Principales parques y jardines municipales,GENERAL CASTAÑOS,CENTRO,JUSTICIA,"Plaza formada por dos amplios espacios estanciales, con zonas ajardinadas y arboladas ante el Tribunal Superior de Justicia, antiguo convento de Santa Bárbara. Dotada de zona de juegos infantiles y con grandes espacios en terrizo para el paseo de los ciudadanos.","Metro: Colón (línea 4) Bus: 5, 14, 21 ,27, 37, 45, 53, 150  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.42620255233654,-3.693446898367585,POINT (4500224.28283184 -411437.6784656403),Marqués de la Ensenada,Calle Marqués de la Ensenada nº 16,40.42533,-3.69214,disponible,0,POINT (4500127.150750047 -411291.8925134216),175.1804360591485
16,Jardines de la Vega,Principales parques y jardines municipales,VEGA,CENTRO,PALACIO,"En la Cuesta de la Vega, bajo la catedral de la Almudena, se encuentran dos zonas ajardinadas diferencias. Por un lado, están los Jardines de Azorín que deben su nombre al escritor José Martínez Ruiz &amp;ldquo;Azorín&amp;rdquo; y por otro, el Jardín de la Glorieta de Boccherini que alberga un busto dedicado al músico italiano Luigi Boccherini. Ambos jardines están compuestos en su mayor parte por praderas y macizos de rosales, si bien en el Jardín de Boccherini también hay grupos de palmáceas. Estos recintos ajardinados se sitúan sobre lo que en el pasado fue la primera puerta de Madrid &amp;ldquo;la puerta de la Vega&amp;rdquo; que abría la ciudad hasta la vega. Se cree que es la puerta por la que entró el conquistador Alfonso VI. En 1708 se construyó una muralla en la que se colocó un medallón de la Virgen de la Almudena y cuya situación coincide con el lugar que ocupa la Catedral de la Almudena.","Bus: 31 , 41 , 50 , 65  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.41476219795408,-3.71544111428354,POINT (4498950.748407491 -413891.1897389275),Segovia 26,Calle Segovia nº 26,40.4138333,-3.7135833,disponible,8,POINT (4498847.343960243 -413683.9434243567),231.6106962420052
17,Jardines de la calle Teresita González Quevedo,Principales parques y jardines municipales,SAN AMARO,TETUAN,CUATRO CAMINOS,Situados en la confluencia de la calle Capitán Haya con Teresita González de Quevedo. Zona de praderas con distintas especies de árboles y arbustos.,"Bus: 3, 5, 126   Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.45558642017734,-3.697027564909845,POINT (4503495.280037414 -411837.10686186),Orense 36,Calle Orense nº 36,40.4548456,-3.6946218,disponible,11,POINT (4503412.812312503 -411568.7402199105),280.7518123952972
18,Jardines de las Vistillas,Principales parques y jardines municipales,MORERIA,CENTRO,PALACIO,"Jardín de 1,74 hectáreas que es usado por los madrileños para sentarse en verano en cualquiera de sus terrazas. Fue diseñado en los años 30 y 40 por los arquitectos Fernando García Mercadal (1932) y Manuel Herrero Palacios (1945) que configuraron un primer cuerpo rodeado por un murete al que se accede por unas escaleras, una zona estancial con árboles, fuente central y señalados macizos con césped, pasos de granito y farolas y un busto de Zuloaga. Denominado de las Vistillas por sus magníficas vistas de la ribera del Manzanares y la Casa de Campo, es lugar, además, de famosas verbenas y festejos populares.","Bus: 3, 31, 50, 65, 148  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.41281392212301,-3.7143597156687056,POINT (4498733.86733405 -413770.5555194183),Segovia 26,Calle Segovia nº 26,40.4138333,-3.7135833,disponible,8,POINT (4498847.343960243 -413683.9434243567),142.7536328894473
19,Jardines del Arquitecto Ribera,Principales parques y jardines municipales,BARCELO,CENTRO,JUSTICIA,"Estos jardines se estructuran en cuatro zonas estanciales y están diseñados para facilitar la conexión entre las calles Barceló y Beneficencia. Una de las zonas está pavimentada y las otras tres son de terrizo. Estas últimas están separadas entre sí por senderos peatonales pavimentados y ajardinados. Las tres superficies terrizas disponen de arbolado de sombra. Una de ellas es la zona de Juegos de Agua, otra la Explanada (zona estancial central) y por último encontramos la zona de juegos infantiles con taludes ajardinados frente a la calle Beneficencia.    El arbolado de sombra se encuentra tanto en los laterales de las tres zonas terrizas como en los cuatro alcorques circulares elevados que dan a la calle Barceló. En la zona ajardinada ubicada frente al colegio Isabel la Católica se han plantado árboles frutales, mientras que frente al jardín del Museo de Historia el arbolado es singular. Los Jardines del Arquitecto Ribera también cuentan con arbustos y tapizantes. Dentro de estos jardines se ha reservado un espacio para alojar un huerto urbano de uso escolar para el colegio Isabel la Católica.","Metro: Tribunal (líneas 1 y 10) Bus: 3, 40, 149  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.42640449792336,-3.700298174862196,POINT (4500246.763311733 -412201.9494181896),Barceló,Calle Barceló nº 7,40.4266828,-3.700423,disponible,18,POINT (4500277.743757191 -412215.8739185985),33.96586098492336
20,Jardines del Descubrimiento,Principales parques y jardines municipales,GOYA,SALAMANCA,RECOLETOS,"Los Jardines del Descubrimiento se encuentran en el centro neurálgico de la capital, delimitados por las calles Goya, Serrano, de la Armada Española y el eje Castellana-Recoletos. La Antigua Casa de la Moneda y el Timbre ocupaba estos terrenos hasta los años 70, fecha en la que se remodeló la plaza y se crearon los jardines y el antiguo Centro Cultural de la Villa. En la actualidad es un lugar de referencia para los madrileños ya que su excelente ubicación los convierte en uno de los principales escenarios para la celebración de todo tipo de eventos: actos de conmemoración del Día de la Hispanidad, ferias, manifestaciones y encuentros deportivos.  El diseño original  de la jardinería  presentaba grandes áreas geométricas de césped en la zona  central de la plaza, acompañadas de macizos de flor y ejemplares arbóreos de gran porte como pinos, cipreses y magnolios en las franjas laterales. Debido a las filtraciones producidas en las instalaciones subterráneas y al gasto de agua para su mantenimiento, en 2006 las praderas se sustituyeron por grava ornamental. En la actualidad bajo su superficie se encuentran el aparcamiento público Plaza de Colón y el Fernán Gómez Centro Cultural de la Villa.  Los Jardines del Descubrimiento deben su nombre a Cristóbal Colón. Un gran monumento neogótico con la estatua de Cristóbal Colón ha presidido los jardines desde 1972 a 2009, año en el que con motivo de las obras de remodelación del eje Prado-Recoletos fue de nuevo trasladado a la que fuera su ubicación inicial, el centro de la rotonda de la plaza de Colón. En el lateral de la calle Serrano se sitúa el Monumento al Descubrimiento de América compuesto por cuatro grandes bloques de hormigón con grabados y textos de la historia del Descubrimiento. En estos céntricos jardines ondea desde 2002 la bandera más grande de España, con 294 metros cuadrados -21 x 14- de longitud y 35 kilos de peso. Está sostenida por un mástil de 50 metros de altura que gira en la dirección del viento lo que impide que se enrolle. Mirando a esta bandera se colocó en 2014 una estatua en honor al almirante Blas de Lezo.  Otras denominaciones: Jardines de la Plaza Colón","Metro: Colón (línea 4) y Serrano (línea 4) Bus: 1, 5, 9, 14, 19, 21, 27, 45, 51, 53, 74 y 150  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.42518540300912,-3.6887800207651495,POINT (4500111.05428665 -410917.0841141841),Plaza de Colón,Calle Goya nº 1,40.4257046,-3.6893698,disponible,4,POINT (4500168.851031297 -410982.874361928),87.57180133997562
21,Jardines del Doctor Fleming,Principales parques y jardines municipales,DOCTOR FLEMING,CHAMARTIN,HISPANOAMERICA,"Jardines situados junto a bloques de viviendas en la Calle Doctor Fleming, que presentan mayoritariamente praderas delimitadas por borduras de seto.","Metro: Cuzco (línea 10) Bus: 27, 40 , 126, 147 y 150  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.45454215758879,-3.6893863385035774,POINT (4503379.033257803 -410984.7192431204),Doctor Fleming,Calle Doctor Fleming nº 7,40.45546,-3.68844,disponible,11,POINT (4503481.207007647 -410879.1546019998),146.91279254103924
22,Jardines del Mundial. Castellana,Principales parques y jardines municipales,CASTELLANA,CHAMARTIN,HISPANOAMERICA,"Jardineras de obra con especies arbóreas específicas de diferentes países. Parque conmemorativo de los Mundiales de Fútbol 1982, posee especies originales de otros países.","Metro: Santiago Bernabéu (línea 10) Bús: 14, 27, 40, 126, 147, 150  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.4530917282714,-3.689383308286706,POINT (4503217.57220476 -410984.3812203883),Doctor Fleming,Calle Doctor Fleming nº 7,40.45546,-3.68844,disponible,11,POINT (4503481.207007647 -410879.1546019998),283.85903281533757
23,Jardines del Príncipe de Anglona,Principales parques y jardines municipales,PAJA,CENTRO,PALACIO,"Pequeño jardín histórico, situado en pleno centro de Madrid. Antiguamente era el lugar de recreo de los distintos propietarios del palacio contiguo. El jardín aún conserva su estructura original, pese a haber sido reformado en varias ocasiones. Los caminos de ladrillos están aparejados a sardinel (albañilería hecha con los ladrillos colocados de canto, en posición vertical, adosados por sus caras). Dentro del jardín destacan varios arbustos singulares y una gran pérgola de rosales trepadores. El Jardín original data aproximadamente del año 1750. Su aspecto actual se debe al encargo que en 1920 realizaron los Marqueses de la Romana al pintor y diseñador de jardines Javier de Winthuysen. La última restauración la realizó la paisajista toscana Lucía Serredi en el año 2002.","Metro: La Latina (línea 5) Bus: 3 , 31 , 50 , 65 , 148   Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.41341734909077,-3.711466649831885,POINT (4498801.040516833 -413447.8235048456),Plaza del Cordón,Plaza del Cordón,40.4141931,-3.7103285,disponible,18,POINT (4498887.396713031 -413320.8590420586),153.54923455524548
24,Jardín Botánico de Pradolongo,Principales parques y jardines municipales,RAFAELA YBARRA,USERA,PRADOLONGO,"En la zona central del parque de Pradolongo, frente al lago, se sitúa el jardín botánico. Son más de ocho mil metros cuadrados distribuidos en plazas y parterres, con numerosos carteles informativos y fichas botánicas con la descripción de las principales especies vegetales allí presentes.","Metro: Hospital Doce de Octubre (línea 3) Bus: 6 , 60 , 78 , 81 , 121 , 131 RENFE: Doce de Octubre  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.37374599660716,-3.712180056298639,POINT (4494384.845759276 -413527.4064922486),Glorieta de Cádiz,Calle Antonio López nº 129,40.38895,-3.70017,disponible,7,POINT (4496077.347674986 -412187.6512511889),2158.5890856365204
25,Jardín Concejal Alejandro Muñoz Revenga,Principales parques y jardines municipales,MELENDEZ VALDES,CHAMBERI,GAZTAMBIDE,Plaza pavimentada con gran superficie de arbustos y una zona infantil.,"Bus: 2, 16, 61 y 202  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.43304334055123,-3.712227582685096,POINT (4500985.795892524 -413532.7082292265),Guzmán el Bueno,Calle Guzmán el Bueno nº 1,40.4306458,-3.7133412,disponible,9,POINT (4500718.902899205 -413656.93627218),294.3883091067727
26,Jardín Doña Concha Piquer,Principales parques y jardines municipales,IMPERIAL,ARGANZUELA,IMPERIAL,"Pequeño parque con dos zonas infantiles y varias zonas estanciales, una gran densidad de arbolado que da cobijo a los visitantes en los calurosos días de verano.","Metro: Pirámides (línea 5) Bus: 18 , 23 , 34 , 35 , 36 , 116 , 118 , 119  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.402080397498985,-3.714965086287463,POINT (4497539.016838487 -413838.0869471545),Pirámides,Calle Toledo nº 181,40.4016111,-3.7138055,disponible,8,POINT (4497486.774879869 -413708.7306643059),139.50724050269665
27,Jardín Fachada Pirámides I,Principales parques y jardines municipales,ACACIAS,ARGANZUELA,ACACIAS,Pequeño parque situado entre dos vías importantes de Madrid como son la calle Toledo y el paseo de las Acacias.,"Metro: Pirámides (Linea 5) Bus: 18, 23 , 34, 35, 36, 116, 118, 119  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.40148810908036,-3.713132255123738,POINT (4497473.083593323 -413633.6277028761),Pirámides,Calle Toledo nº 181,40.4016111,-3.7138055,disponible,8,POINT (4497486.774879869 -413708.7306643059),76.34072401291411
28,Jardín Glorieta de Azorín,Principales parques y jardines municipales,VEGA,CENTRO,PALACIO,"Pequeño jardincillo situado en la denominada Cuesta de la Vega, bajo la Catedral de la Almudena. Le debe su nombre al escritor José Martínez Ruiz 'Azorín'.","Bus: 31 , 41 , 50 , 65  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.41475767390192,-3.716171835785045,POINT (4498950.244792307 -413972.7046468664),Segovia 45,Calle Segovia nº 45,40.413736,-3.717487,disponible,11,POINT (4498836.512573789 -414119.4166486436),185.63251060755272
29,Jardín Jazmín,Principales parques y jardines municipales,ROQUETAS DE MAR,HORTALEZA,APOSTOL SANTIAGO,"Parque formado en su totalidad por pradera natural; plantaciones arbóreas y herbáceas en su mayoría, situado en la cubierta de las Cocheras de metro. Debido a sus limitaciones en suelo se ha diseñado con un claro enfoque sostenible, con plantas adaptadas al escaso espesor del suelo y resistentes a la sequía con un diseño en bandas y riego automático por goteo en la totalidad del parque.   Otras denominaciones Parque de Cocheras","Bus: 29, 125, 129, 150  Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones.",40.481785094079584,-3.660098332215654,POINT (4506411.703075672 -407717.6761192262),Manuel Caldeiro,Paseo de la Castellana nº 298,40.47938,-3.68532,disponible,16,POINT (4506143.969227422 -410531.1174823334),2826.1517505507195
